,FieldID,Proteomics_cases,UKB_cases,Path,Category,Field,Items,Stability,ValueType,Units,ItemType
53,131912,217,2218,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M45 first reported (ankylosing spondylitis),2218,Ongoing,Date,,Data
54,131536,67,597,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J91 first reported (pleural effusion in conditions classified elsewhere),597,Ongoing,Date,,Data
55,130342,566,5110,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B98 first reported (other specified infectious agents as the cause of diseases classified to other chapters),5110,Ongoing,Date,,Data
56,132108,56,581,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,"Date N71 first reported (inflammatory disease of uterus, except cervix)",581,Ongoing,Date,,Data
57,131478,59,618,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J37 first reported (chronic laryngitis and laryngotracheitis),618,Ongoing,Date,,Data
58,131564,122,909,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K06 first reported (other disorders of gingiva and edentulous alveolar ridge),909,Ongoing,Date,,Data
59,131462,7917,66180,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J22 first reported (unspecified acute lower respiratory infection),66180,Ongoing,Date,,Data
60,131294,54,314,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I15 first reported (secondary hypertension),314,Ongoing,Date,,Data
61,131542,130,1015,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J94 first reported (other pleural conditions),1015,Ongoing,Date,,Data
62,131062,407,3405,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G50 first reported (disorders of trigeminal nerve),3405,Ongoing,Date,,Data
63,130008,1016,8868,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date A04 first reported (other bacterial intestinal infections),8868,Ongoing,Date,,Data
64,131658,269,2442,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K70 first reported (alcoholic liver disease),2442,Ongoing,Date,,Data
65,131250,143,1115,Health-related outcomes > First occurrences > Ear and mastoid process disorders,2408,Date H80 first reported (otosclerosis),1115,Ongoing,Date,,Data
66,131386,1906,14861,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I73 first reported (other peripheral vascular diseases),14861,Ongoing,Date,,Data
67,131144,1041,9011,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H11 first reported (other disorders of conjunctiva),9011,Ongoing,Date,,Data
68,131086,719,5866,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G62 first reported (other polyneuropathies),5866,Ongoing,Date,,Data
69,132106,126,1174,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N70 first reported (salpingitis and oophoritis),1174,Ongoing,Date,,Data
70,132242,158,1478,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O48 first reported (prolonged pregnancy),1478,Ongoing,Date,,Data
71,130320,255,2468,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B86 first reported (scabies),2468,Ongoing,Date,,Data
72,130696,4530,40444,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E03 first reported (other hypothyroidism),40444,Ongoing,Date,,Data
73,130626,140,1134,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",2403,Date D52 first reported (folate deficiency anaemia),1134,Ongoing,Date,,Data
74,131320,93,687,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I33 first reported (acute and subacute endocarditis),687,Ongoing,Date,,Data
75,131678,500,4899,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K82 first reported (other diseases of gallbladder),4899,Ongoing,Date,,Data
76,132034,602,3925,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N19 first reported (unspecified renal failure),3925,Ongoing,Date,,Data
77,132076,435,3905,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N42 first reported (other disorders of prostate),3905,Ongoing,Date,,Data
78,132074,555,5063,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N41 first reported (inflammatory diseases of prostate),5063,Ongoing,Date,,Data
79,131834,619,4430,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,"Date L97 first reported (ulcer of lower limb, not elsewhere classified)",4430,Ongoing,Date,,Data
80,131700,1529,13229,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,"Date L02 first reported (cutaneous abscess, furuncle and carbuncle)",13229,Ongoing,Date,,Data
81,131524,207,1464,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J81 first reported (pulmonary oedema),1464,Ongoing,Date,,Data
82,132240,143,1367,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O47 first reported (false labour),1367,Ongoing,Date,,Data
83,131410,311,2361,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I87 first reported (other disorders of veins),2361,Ongoing,Date,,Data
84,131052,2988,27530,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G43 first reported (migraine),27530,Ongoing,Date,,Data
85,131730,369,3360,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L25 first reported (unspecified contact dermatitis),3360,Ongoing,Date,,Data
86,131662,172,1412,Health-related outcomes > First occurrences > Digestive system disorders,2411,"Date K72 first reported (hepatic failure, not elsewhere classified)",1412,Ongoing,Date,,Data
87,131978,71,588,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M88 first reported (paget's disease of bone [osteitis deformans]),588,Ongoing,Date,,Data
88,131682,626,5089,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K85 first reported (acute pancreatitis),5089,Ongoing,Date,,Data
89,131720,1950,13928,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L20 first reported (atopic dermatitis),13928,Ongoing,Date,,Data
90,130816,64,561,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E79 first reported (disorders of purine and pyrimidine metabolism),561,Ongoing,Date,,Data
91,131666,374,3108,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K74 first reported (fibrosis and cirrhosis of liver),3108,Ongoing,Date,,Data
92,131380,531,4532,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I70 first reported (atherosclerosis),4532,Ongoing,Date,,Data
93,130702,201,1554,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E06 first reported (thyroiditis),1554,Ongoing,Date,,Data
94,130104,55,447,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date A60 first reported (anogenital herpesviral [herpes simplex] infections),447,Ongoing,Date,,Data
95,130826,1705,13057,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E86 first reported (volume depletion),13057,Ongoing,Date,,Data
96,131740,5752,50347,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L30 first reported (other dermatitis),50347,Ongoing,Date,,Data
97,132004,218,1299,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N03 first reported (chronic nephritic syndrome),1299,Ongoing,Date,,Data
98,131428,2803,24402,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J02 first reported (acute pharyngitis),24402,Ongoing,Date,,Data
99,132500,74,684,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,2417,"Date Q38 first reported (other congenital malformations of tongue, mouth and pharynx)",684,Ongoing,Date,,Data
100,131632,446,3840,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K55 first reported (vascular disorders of intestine),3840,Ongoing,Date,,Data
101,132542,133,1198,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,2417,Date Q66 first reported (congenital deformities of feet),1198,Ongoing,Date,,Data
102,131108,113,821,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G90 first reported (disorders of autonomic nervous system),821,Ongoing,Date,,Data
103,131442,1232,11056,Health-related outcomes > First occurrences > Respiratory system disorders,2410,"Date J11 first reported (influenza, virus not identified)",11056,Ongoing,Date,,Data
104,131624,308,2677,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K46 first reported (unspecified abdominal hernia),2677,Ongoing,Date,,Data
105,131568,620,5625,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K08 first reported (other disorders of teeth and supporting structures),5625,Ongoing,Date,,Data
106,130106,220,1847,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,"Date A63 first reported (other predominantly sexually transmitted diseases, not elsewhere classified)",1847,Ongoing,Date,,Data
107,131128,1454,12956,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H00 first reported (hordeolum and chalazion),12956,Ongoing,Date,,Data
108,131118,275,2169,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G95 first reported (other diseases of spinal cord),2169,Ongoing,Date,,Data
109,130336,1178,9926,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B95 first reported (streptococcus and staphylococcus as the cause of diseases classified to other chapters),9926,Ongoing,Date,,Data
110,131350,5002,42871,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I48 first reported (atrial fibrillation and flutter),42871,Ongoing,Date,,Data
111,131396,2236,19973,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I80 first reported (phlebitis and thrombophlebitis),19973,Ongoing,Date,,Data
112,130184,2197,18524,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B05 first reported (measles),18524,Ongoing,Date,,Data
113,130906,4731,42187,Health-related outcomes > First occurrences > Mental and behavioural disorders,2405,Date F41 first reported (other anxiety disorders),42187,Ongoing,Date,,Data
114,132206,263,2516,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O26 first reported (maternal care for other conditions predominantly related to pregnancy),2516,Ongoing,Date,,Data
115,131528,863,4848,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J84 first reported (other interstitial pulmonary diseases),4848,Ongoing,Date,,Data
116,132174,67,512,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O06 first reported (unspecified abortion),512,Ongoing,Date,,Data
117,131426,2699,24648,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J01 first reported (acute sinusitis),24648,Ongoing,Date,,Data
118,132268,228,2078,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O72 first reported (postpartum haemorrhage),2078,Ongoing,Date,,Data
119,130186,780,6619,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B06 first reported (rubella [german measles]),6619,Ongoing,Date,,Data
120,132058,2562,22734,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N32 first reported (other disorders of bladder),22734,Ongoing,Date,,Data
121,131032,732,6046,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G25 first reported (other extrapyramidal and movement disorders),6046,Ongoing,Date,,Data
122,132134,222,2077,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N86 first reported (erosion and ectropion of cervix uteri),2077,Ongoing,Date,,Data
123,131378,490,3963,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I69 first reported (sequelae of cerebrovascular disease),3963,Ongoing,Date,,Data
124,131384,234,1788,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I72 first reported (other aneurysm),1788,Ongoing,Date,,Data
125,131804,555,5028,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L81 first reported (other disorders of pigmentation),5028,Ongoing,Date,,Data
126,132086,504,4567,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,"Date N47 first reported (redundant prepuce, phimosis and paraphimosis)",4567,Ongoing,Date,,Data
127,131898,94,491,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M34 first reported (systemic sclerosis),491,Ongoing,Date,,Data
128,131054,684,6180,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G44 first reported (other headache syndromes),6180,Ongoing,Date,,Data
129,131748,313,2804,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L43 first reported (lichen planus),2804,Ongoing,Date,,Data
130,131830,98,654,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L94 first reported (other localised connective tissue disorders),654,Ongoing,Date,,Data
131,131212,539,4524,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H54 first reported (blindness and low vision),4524,Ongoing,Date,,Data
132,131566,310,2766,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K07 first reported (dentofacial anomalies [including malocclusion]),2766,Ongoing,Date,,Data
133,131738,1475,12996,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L29 first reported (pruritus),12996,Ongoing,Date,,Data
134,131980,669,6174,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M89 first reported (other disorders of bone),6174,Ongoing,Date,,Data
135,130004,94,806,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date A02 first reported (other salmonella infections),806,Ongoing,Date,,Data
136,130200,106,920,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B18 first reported (chronic viral hepatitis),920,Ongoing,Date,,Data
137,131676,791,6919,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K81 first reported (cholecystitis),6919,Ongoing,Date,,Data
138,131532,93,867,Health-related outcomes > First occurrences > Respiratory system disorders,2410,Date J86 first reported (pyothorax),867,Ongoing,Date,,Data
139,131392,355,3128,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I78 first reported (diseases of capillaries),3128,Ongoing,Date,,Data
140,130338,2508,20651,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B96 first reported (other bacterial agents as the cause of diseases classified to other chapters),20651,Ongoing,Date,,Data
141,131916,4234,37834,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M47 first reported (spondylosis),37834,Ongoing,Date,,Data
142,130698,721,5926,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,Date E04 first reported (other non-toxic goitre),5926,Ongoing,Date,,Data
143,132006,81,514,Health-related outcomes > First occurrences > Genitourinary system disorders,2414,Date N04 first reported (nephrotic syndrome),514,Ongoing,Date,,Data
144,132574,177,1668,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,2417,Date Q82 first reported (other congenital malformations of skin),1668,Ongoing,Date,,Data
145,131736,210,1770,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L28 first reported (lichen simplex chronicus and prurigo),1770,Ongoing,Date,,Data
146,131868,1897,16682,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M15 first reported (polyarthrosis),16682,Ongoing,Date,,Data
147,131766,84,673,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,2412,Date L56 first reported (other acute skin changes due to ultraviolet radiation),673,Ongoing,Date,,Data
148,130020,299,2765,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,"Date A15 first reported (respiratory tuberculosis, bacteriologically and histologically confirmed)",2765,Ongoing,Date,,Data
149,131114,864,7437,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G93 first reported (other disorders of brain),7437,Ongoing,Date,,Data
150,130230,1656,13594,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,2401,Date B37 first reported (candidiasis),13594,Ongoing,Date,,Data
151,130664,228,1945,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",2403,Date D72 first reported (other disorders of white blood cells),1945,Ongoing,Date,,Data
152,131684,452,3986,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K86 first reported (other diseases of pancreas),3986,Ongoing,Date,,Data
153,132468,193,1394,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,2417,Date Q21 first reported (congenital malformations of cardiac septa),1394,Ongoing,Date,,Data
154,131096,69,519,Health-related outcomes > First occurrences > Nervous system disorders,2406,Date G72 first reported (other myopathies),519,Ongoing,Date,,Data
155,131370,402,3262,Health-related outcomes > First occurrences > Circulatory system disorders,2409,"Date I65 first reported (occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction)",3262,Ongoing,Date,,Data
156,131282,1221,9423,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I08 first reported (multiple valve diseases),9423,Ongoing,Date,,Data
157,131996,69,596,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,"Date M99 first reported (biomechanical lesions, not elsewhere classified)",596,Ongoing,Date,,Data
158,132256,57,425,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O66 first reported (other obstructed labour),425,Ongoing,Date,,Data
159,131164,4032,37583,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H25 first reported (senile cataract),37583,Ongoing,Date,,Data
160,131150,199,1858,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H16 first reported (keratitis),1858,Ongoing,Date,,Data
161,131356,3125,25542,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I51 first reported (complications and ill-defined descriptions of heart disease),25542,Ongoing,Date,,Data
162,131934,670,5454,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,Date M62 first reported (other disorders of muscle),5454,Ongoing,Date,,Data
163,130912,62,412,Health-related outcomes > First occurrences > Mental and behavioural disorders,2405,Date F44 first reported (dissociative [conversion] disorders),412,Ongoing,Date,,Data
164,131570,91,994,Health-related outcomes > First occurrences > Digestive system disorders,2411,"Date K09 first reported (cysts of oral region, not elsewhere classified)",994,Ongoing,Date,,Data
165,131640,4762,40325,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K59 first reported (other functional intestinal disorders),40325,Ongoing,Date,,Data
166,131198,218,1804,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H47 first reported (other disorders of optic [2nd] nerve and visual pathways),1804,Ongoing,Date,,Data
167,131124,273,2164,Health-related outcomes > First occurrences > Nervous system disorders,2406,"Date G98 first reported (other disorders of nervous system, not elsewhere classified)",2164,Ongoing,Date,,Data
168,131136,1893,16627,Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,Date H04 first reported (disorders of lachrymal system),16627,Ongoing,Date,,Data
169,131636,8210,74436,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K57 first reported (diverticular disease of intestine),74436,Ongoing,Date,,Data
170,131338,521,3952,Health-related outcomes > First occurrences > Circulatory system disorders,2409,Date I42 first reported (cardiomyopathy),3952,Ongoing,Date,,Data
171,130828,3630,29537,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",2404,"Date E87 first reported (other disorders of fluid, electrolyte and acid-base balance)",29537,Ongoing,Date,,Data
172,131994,168,1369,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,2413,"Date M96 first reported (postprocedural musculoskeletal disorders, not elsewhere classified)",1369,Ongoing,Date,,Data
173,131604,561,5561,Health-related outcomes > First occurrences > Digestive system disorders,2411,Date K35 first reported (acute appendicitis),5561,Ongoing,Date,,Data
174,132250,243,2442,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",2415,Date O63 first reported (long labour),2442,Ongoing,Date,,Data
